chembl_id	accession	pref_name	organism
CHEMBL1770037	P33766	fMet-Leu-Phe receptor	Mus musculus
CHEMBL1795157	P33883	Acyl-homoserine-lactone synthase	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228)
CHEMBL5865	P33905	Transcriptional activator protein traR	Agrobacterium tumefaciens
CHEMBL5915	P33908	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	Homo sapiens
CHEMBL3983	P33981	Dual specificity protein kinase TTK	Homo sapiens
CHEMBL5676	P34021	Ecdysone receptor	Drosophila melanogaster
CHEMBL2366581	P34021	Ecdysone receptor	Drosophila melanogaster
CHEMBL1075288	P34152	Focal adhesion kinase 1	Mus musculus
CHEMBL3992	P34158	Cystic fibrosis transmembrane conductance regulator	Rattus norvegicus
CHEMBL2146298	P34707	Protein skinhead-1	Caenorhabditis elegans
CHEMBL1926491	P34884	Macrophage migration inhibitory factor	Mus musculus
CHEMBL1772927	P34896	Serine hydroxymethyltransferase, cytosolic	Homo sapiens
CHEMBL3026	P34903	GABA receptor alpha-3 subunit	Homo sapiens
CHEMBL2093872	P34903	GABA-A receptor; anion channel	Homo sapiens
CHEMBL2109243	P34903	GABA-A receptor; benzodiazepine site	Homo sapiens
CHEMBL2109244	P34903	GABA-A receptor; agonist GABA site	Homo sapiens
CHEMBL2094120	P34903	GABA-A receptor; alpha-3/beta-3/gamma-2	Homo sapiens
CHEMBL2111339	P34903	GABA A receptor alpha-3/beta-2/gamma-2	Homo sapiens
CHEMBL2409	P34913	Epoxide hydratase	Homo sapiens
CHEMBL4140	P34914	Epoxide hydratase	Mus musculus
CHEMBL5066	P34927	Asialoglycoprotein receptor 1	Mus musculus
CHEMBL5678	P34947	G protein-coupled receptor kinase 5	Homo sapiens
CHEMBL3946	P34948	Mannose-6-phosphate isomerase	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)
CHEMBL2758	P34949	Mannose-6-phosphate isomerase	Homo sapiens
CHEMBL2594	P34960	Matrix metalloproteinase 12	Mus musculus
CHEMBL3006	P34968	Serotonin 2c (5-HT2c) receptor	Mus musculus
CHEMBL2096671	P34968	Serotonin 2 (5-HT2) receptor	Mus musculus
CHEMBL2109245	P34968	Dopamine D2 receptor/Serotonin 2 (5-HT2) receptor	Mus musculus
CHEMBL3155	P34969	Serotonin 7 (5-HT7) receptor	Homo sapiens
CHEMBL2096904	P34969	Serotonin (5-HT) receptor	Homo sapiens
CHEMBL3947	P34970	Adenosine A1 receptor	Oryctolagus cuniculus
CHEMBL2111395	P34971	Beta-adrenergic receptor	Mus musculus
CHEMBL253	P34972	Cannabinoid CB2 receptor	Homo sapiens
CHEMBL2096981	P34972	Cannabinoid receptor	Homo sapiens
CHEMBL3614	P34975	Kappa opioid receptor	Rattus norvegicus
CHEMBL2094129	P34975	Opioid receptor	Rattus norvegicus
CHEMBL3948	P34976	Angiotensin II type 1a (AT-1a) receptor	Oryctolagus cuniculus
CHEMBL3156	P34978	Thromboxane A2 receptor	Rattus norvegicus
CHEMBL5674	P34980	Prostanoid EP3 receptor	Rattus norvegicus
CHEMBL1810	P34981	Thyrotropin-releasing hormone receptor	Homo sapiens
CHEMBL1811	P34995	Prostanoid EP1 receptor	Homo sapiens
CHEMBL2363068	P34995	Prostaglandin E2 receptor	Homo sapiens
CHEMBL1800	P34998	Corticotropin releasing factor receptor 1	Homo sapiens
CHEMBL4551	P35030	Trypsin III	Homo sapiens
CHEMBL2096988	P35030	Thrombin & trypsin	Homo sapiens
CHEMBL2095204	P35030	Trypsin	Homo sapiens
CHEMBL4789	P35218	Carbonic anhydrase VA	Homo sapiens
CHEMBL2095180	P35218	Carbonic anhydrase	Homo sapiens
CHEMBL2111457	P35218	Carbonic anhydrase V	Homo sapiens
CHEMBL5866	P35222	Catenin beta-1	Homo sapiens
CHEMBL3038464	P35222	Axin1/beta-catenin	Homo sapiens
CHEMBL3038511	P35222	TCF4/beta-catenin	Homo sapiens
CHEMBL3580486	P35225	Interleukin-13	Homo sapiens
CHEMBL4481	P35228	Nitric oxide synthase, inducible	Homo sapiens
CHEMBL2096621	P35228	Nitric oxide sythases; iNOS & nNOS	Homo sapiens
CHEMBL2111350	P35228	Nitric oxide synthase (inducible and endothelial)	Homo sapiens
CHEMBL2429710	P35234	Tyrosine-protein phosphatase non-receptor type 5	Rattus norvegicus
CHEMBL2620	P35235	Protein-tyrosine phosphatase 2C	Mus musculus
CHEMBL2219	P35236	Protein-tyrosine phosphatase LC-PTP	Homo sapiens
CHEMBL2176857	P35247	Pulmonary surfactant-associated protein D	Homo sapiens
CHEMBL2062356	P35318	ADM	Homo sapiens
CHEMBL5867	P35327	Transcriptional activator protein luxR	Vibrio fischeri (strain ATCC 700601 / ES114)
CHEMBL1075279	P35329	B-cell receptor CD22	Mus musculus
CHEMBL1075198	P35344	C-X-C chemokine receptor type 2	Oryctolagus cuniculus
CHEMBL2701	P35345	Melanocortin receptor 5	Rattus norvegicus
CHEMBL1792	P35346	Somatostatin receptor 5	Homo sapiens
CHEMBL2111436	P35346	Somatostatin receptor	Homo sapiens
CHEMBL2446	P35347	Corticotropin releasing factor receptor 1	Mus musculus
CHEMBL229	P35348	Alpha-1a adrenergic receptor	Homo sapiens
CHEMBL2096676	P35348	Adrenergic receptors; alpha-1 A & B	Homo sapiens
CHEMBL2094251	P35348	Adrenergic receptor alpha-1	Homo sapiens
CHEMBL2095203	P35348	Adrenergic receptor alpha	Homo sapiens
CHEMBL2111467	P35348	Alpha adrenergic receptor (1a and 1d)	Homo sapiens
CHEMBL2331074	P35348	Adrenergic receptor	Homo sapiens
CHEMBL3842	P35349	Metabotropic glutamate receptor 6	Rattus norvegicus
CHEMBL2111335	P35349	Metabotropic glutamate receptor	Rattus norvegicus
CHEMBL257	P35351	Angiotensin II type 2 (AT-2) receptor	Rattus norvegicus
CHEMBL2094112	P35351	Angiotensin II receptor	Rattus norvegicus
CHEMBL4649	P35353	Corticotropin releasing factor receptor 1	Rattus norvegicus
CHEMBL2111360	P35353	Corticotropin releasing factor receptor	Rattus norvegicus
CHEMBL230	P35354	Cyclooxygenase-2	Homo sapiens
CHEMBL2094253	P35354	Cyclooxygenase	Homo sapiens
CHEMBL2977	P35355	Cyclooxygenase-2	Rattus norvegicus
CHEMBL2095157	P35355	Cyclooxygenase	Rattus norvegicus
CHEMBL5377	P35363	Serotonin 2a (5-HT2a) receptor	Mus musculus
CHEMBL2096671	P35363	Serotonin 2 (5-HT2) receptor	Mus musculus
CHEMBL2109245	P35363	Dopamine D2 receptor/Serotonin 2 (5-HT2) receptor	Mus musculus
CHEMBL4655	P35364	Serotonin 5a (5-HT5a) receptor	Rattus norvegicus
CHEMBL2094123	P35364	Serotonin (5-HT) receptor	Rattus norvegicus
CHEMBL2619	P35365	Serotonin 5b (5-HT5b) receptor	Rattus norvegicus
CHEMBL2094123	P35365	Serotonin (5-HT) receptor	Rattus norvegicus
CHEMBL231	P35367	Histamine H1 receptor	Homo sapiens
CHEMBL232	P35368	Alpha-1b adrenergic receptor	Homo sapiens
CHEMBL2096676	P35368	Adrenergic receptors; alpha-1 A & B	Homo sapiens
CHEMBL2094251	P35368	Adrenergic receptor alpha-1	Homo sapiens
CHEMBL2095203	P35368	Adrenergic receptor alpha	Homo sapiens
CHEMBL2331074	P35368	Adrenergic receptor	Homo sapiens
CHEMBL4503	P35370	Nociceptin receptor	Rattus norvegicus
CHEMBL3038507	P35370	Nociceptin/mu opioid receptor	Rattus norvegicus
CHEMBL233	P35372	Mu opioid receptor	Homo sapiens
CHEMBL2095149	P35372	Opioid receptors; mu & delta	Homo sapiens
CHEMBL2095156	P35372	Opioid receptors; mu & kappa	Homo sapiens
CHEMBL2095181	P35372	Opioid receptors; mu/kappa/delta	Homo sapiens
CHEMBL3301384	P35372	CCR5/mu opioid receptor complex	Homo sapiens
CHEMBL2181	P35375	Prostanoid EP1 receptor	Mus musculus
CHEMBL3621	P35377	Nociceptin receptor	Mus musculus
CHEMBL1075298	P35383	Purinergic receptor P2Y2	Mus musculus
CHEMBL1075316	P35384	Extracellular calcium-sensing receptor	Bos taurus
CHEMBL2458	P35396	Peroxisome proliferator-activated receptor delta	Mus musculus
CHEMBL5868	P35398	Nuclear receptor ROR-alpha	Homo sapiens
CHEMBL3879	P35400	Metabotropic glutamate receptor 7	Rattus norvegicus
CHEMBL2111335	P35400	Metabotropic glutamate receptor	Rattus norvegicus
CHEMBL2368	P35406	Dopamine D1 receptor	Carassius auratus
CHEMBL1836	P35408	Prostanoid EP4 receptor	Homo sapiens
CHEMBL2363068	P35408	Prostaglandin E2 receptor	Homo sapiens
CHEMBL2346491	P35411	CX3C chemokine receptor 1	Rattus norvegicus
CHEMBL1628481	P35414	Apelin receptor	Homo sapiens
CHEMBL1075292	P35428	Transcription factor HES-1	Mus musculus
CHEMBL330	P35439	Glutamate (NMDA) receptor subunit zeta 1	Rattus norvegicus
CHEMBL1907608	P35439	Glutamate NMDA receptor	Rattus norvegicus
CHEMBL2096669	P35439	Glutamate receptors; NMDA/AMPA	Rattus norvegicus
CHEMBL2096680	P35439	Glutamate NMDA receptor; Grin1/Grin2a	Rattus norvegicus
CHEMBL2096911	P35439	Glutamate NMDA receptor; Grin1/Grin2c	Rattus norvegicus
CHEMBL2096666	P35439	Glutamate NMDA receptor; Grin1/Grin2b	Rattus norvegicus
CHEMBL3038506	P35439	Ionotropic glutamate receptor NMDA 1/2D	Rattus norvegicus
CHEMBL234	P35462	Dopamine D3 receptor	Homo sapiens
CHEMBL2097165	P35462	Dopamine receptors; D3 & D4	Homo sapiens
CHEMBL2095169	P35462	Dopamine receptors; D2 & D3	Homo sapiens
CHEMBL2096905	P35462	Dopamine receptor	Homo sapiens
CHEMBL2331075	P35462	D2-like dopamine receptor	Homo sapiens
CHEMBL3949	P35463	Endothelin receptor ET-B	Sus scrofa
CHEMBL3580528	P35465	Serine/threonine-protein kinase PAK 1	Rattus norvegicus
CHEMBL1845	P35498	Sodium channel protein type I alpha subunit	Homo sapiens
CHEMBL2096682	P35498	Sodium channel alpha subunits; brain (Types I, II, III)	Homo sapiens
CHEMBL2331043	P35498	Sodium channel alpha subunit	Homo sapiens
CHEMBL2072	P35499	Sodium channel protein type IV alpha subunit	Homo sapiens
CHEMBL2331043	P35499	Sodium channel alpha subunit	Homo sapiens
CHEMBL3542435	P35503	UDP-glucuronosyltransferase 1-3	Homo sapiens
CHEMBL3399911	P35520	Cystathionine beta-synthase	Homo sapiens
CHEMBL2034799	P35546	Proto-oncogene tyrosine-protein kinase receptor Ret	Mus musculus
CHEMBL3820	P35557	Hexokinase type IV	Homo sapiens
CHEMBL2911	P35558	Phosphoenolpyruvate carboxykinase cytosolic	Homo sapiens
CHEMBL2146350	P35560	ATP-sensitive inward rectifier potassium channel 1	Rattus norvegicus
CHEMBL1293290	P35561	Inward rectifier potassium channel 2	Mus musculus
CHEMBL2411	P35563	Serotonin 3a (5-HT3a) receptor	Rattus norvegicus
CHEMBL2094116	P35563	Serotonin 3 (5-HT3) receptor	Rattus norvegicus
CHEMBL2094123	P35563	Serotonin (5-HT) receptor	Rattus norvegicus
CHEMBL1163110	P35570	Insulin receptor substrate 1	Rattus norvegicus
CHEMBL5272	P35573	Glycogen debranching enzyme	Homo sapiens
CHEMBL5273	P35574	Glycogen debranching enzyme	Oryctolagus cuniculus
CHEMBL2282	P35575	Glucose-6-phosphatase	Homo sapiens
CHEMBL2189151	P35579	Myosin-9	Homo sapiens
CHEMBL5274	P35590	Tyrosine-protein kinase receptor Tie-1	Homo sapiens
CHEMBL2782	P35610	Acyl coenzyme A:cholesterol acyltransferase 1	Homo sapiens
CHEMBL3580492	P35613	Basigin	Homo sapiens
CHEMBL1075166	P35626	Beta-adrenergic receptor kinase 2	Homo sapiens
CHEMBL3351207	P35638	DNA damage-inducible transcript 3 protein	Homo sapiens
CHEMBL2146304	P35639	DNA damage-inducible transcript 3 protein	Mus musculus
CHEMBL1255135	P35695	Beta-lactamase OXA-7	Escherichia coli
CHEMBL2176780	P35710	Transcription factor SOX-5	Mus musculus
CHEMBL4220	P35739	Nerve growth factor receptor Trk-A	Rattus norvegicus
CHEMBL4062	P35750	Calpain 1	Sus scrofa
CHEMBL3117	P35790	Choline kinase alpha	Homo sapiens
CHEMBL2437	P35813	Protein phosphatase 2C alpha	Homo sapiens
CHEMBL3336	P35821	Protein-tyrosine phosphatase 1B	Mus musculus
CHEMBL3201	P35869	Aryl hydrocarbon receptor	Homo sapiens
CHEMBL2095220	P35913	Phosphodiesterases; PDE5 & PDE6	Homo sapiens
CHEMBL2097163	P35913	Phosphodiesterase 6	Homo sapiens
CHEMBL2363066	P35913	3',5'-cyclic phosphodiesterase	Homo sapiens
CHEMBL1955	P35916	Vascular endothelial growth factor receptor 3	Homo sapiens
CHEMBL2095227	P35916	Vascular endothelial growth factor receptor	Homo sapiens
CHEMBL2111409	P35916	Vascular endothelial growth factor receptor 2 and 3 (KDR and Flt-4)	Homo sapiens
CHEMBL3301389	P35916	Focal adhesion kinase 1/vascular endothelial growth factor receptor 3	Homo sapiens
CHEMBL3337	P35918	Vascular endothelial growth factor receptor 2	Mus musculus
CHEMBL6180	P35961	Envelope glycoprotein gp160	Human immunodeficiency virus type 1 group M subtype B (isolate YU-2)(HIV-1)
CHEMBL279	P35968	Vascular endothelial growth factor receptor 2	Homo sapiens
CHEMBL2095227	P35968	Vascular endothelial growth factor receptor	Homo sapiens
CHEMBL2111336	P35968	VEGF-receptor 2 and tyrosine-protein kinase SRC	Homo sapiens
CHEMBL2111375	P35968	Vascular endothelial growth factor receptor 2 and tyrosine-protein kinase TIE-2 (KDR and TIE2)	Homo sapiens
CHEMBL2111409	P35968	Vascular endothelial growth factor receptor 2 and 3 (KDR and Flt-4)	Homo sapiens
CHEMBL2111428	P35968	VEGF-receptor 2 and stem cell growth factor receptor (KDR and KIT)	Homo sapiens
CHEMBL2111434	P35968	VEGF-receptor 2 and Fibroblast growth factor receptor 2	Homo sapiens
CHEMBL2111439	P35968	VEGF-receptor 2 and Fibroblast growth factor receptor 1	Homo sapiens
CHEMBL2111440	P35968	VEGF-receptor 2 and PDGF-receptor beta (KDR and PDGFR beta)	Homo sapiens
CHEMBL2111480	P35968	Vascular endothelial growth factor receptor 1 and 2 (Flt-1 and KDR)	Homo sapiens
CHEMBL3516	P35969	Vascular endothelial growth factor receptor 1	Mus musculus
CHEMBL3259478	P35991	Tyrosine-protein kinase BTK	Mus musculus
CHEMBL1641344	P36107	Inositol phosphorylceramide synthase catalytic subunit AUR1	Saccharomyces cerevisiae S288c
CHEMBL3227914	P36196	Acetylcholinesterase	Gallus gallus
CHEMBL3821	P36400	Cysteine proteinase B	Leishmania mexicana
CHEMBL2964	P36507	Dual specificity mitogen-activated protein kinase kinase 2	Homo sapiens
CHEMBL2111289	P36507	Dual specificity mitogen-activated protein kinase kinase; MEK1/2	Homo sapiens
CHEMBL6160	P36537	UDP-glucuronosyltransferase 2B10	Homo sapiens
CHEMBL2492	P36544	Neuronal acetylcholine receptor protein alpha-7 subunit	Homo sapiens
CHEMBL1681618	P36551	Coproporphyrinogen-III oxidase, mitochondrial	Homo sapiens
CHEMBL4648	P36633	Diamine oxidase	Rattus norvegicus
CHEMBL3509595	P36836	Solute carrier family 15 member 1	Oryctolagus cuniculus
CHEMBL4438	P36873	Serine/threonine protein phosphatase PP1-gamma catalytic subunit	Homo sapiens
CHEMBL1974	P36888	Tyrosine-protein kinase receptor FLT3	Homo sapiens
CHEMBL5275	P36894	Bone morphogenetic protein receptor type-1A	Homo sapiens
CHEMBL5310	P36896	Activin receptor type-1B	Homo sapiens
CHEMBL4439	P36897	TGF-beta receptor type I	Homo sapiens
CHEMBL4658	P36906	Beta-xylosidase	Thermoanaerobacterium saccharolyticum
CHEMBL1250360	P36941	Tumor necrosis factor receptor superfamily member 3	Homo sapiens
CHEMBL5311	P37023	Serine/threonine-protein kinase receptor R3	Homo sapiens
CHEMBL4234	P37058	Estradiol 17-beta-dehydrogenase 3	Homo sapiens
CHEMBL2789	P37059	Estradiol 17-beta-dehydrogenase 2	Homo sapiens
CHEMBL1791	P37088	Amiloride-sensitive sodium channel alpha-subunit	Homo sapiens
CHEMBL2107836	P37088	Amiloride-sensitive sodium channel, ENaC	Homo sapiens
CHEMBL3199	P37136	Acetylcholinesterase	Rattus norvegicus
CHEMBL2111475	P37136	Acetylcholinesterase and butyrylcholinesterase (AChE and BChE)	Rattus norvegicus
CHEMBL3309042	P37172	Activin receptor type-1	Mus musculus
CHEMBL4267	P37173	TGF-beta receptor type II	Homo sapiens
CHEMBL2129	P37230	Peroxisome proliferator-activated receptor alpha	Rattus norvegicus
CHEMBL235	P37231	Peroxisome proliferator-activated receptor gamma	Homo sapiens
CHEMBL2096976	P37231	Peroxisome proliferator-activated receptor gamma/Nuclear receptor corepressor 2	Homo sapiens
CHEMBL2095161	P37231	Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 3	Homo sapiens
CHEMBL2095162	P37231	Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 1	Homo sapiens
CHEMBL2095163	P37231	Peroxisome proliferator-activated receptor gamma/Nuclear receptor coactivator 2	Homo sapiens
CHEMBL2111325	P37231	PPAR alpha/gamma	Homo sapiens
CHEMBL2111371	P37231	PPAR delta/gamma	Homo sapiens
CHEMBL2111394	P37231	RXR alpha/PPAR gamma	Homo sapiens
CHEMBL3559683	P37231	Peroxisome proliferator-activated receptor	Homo sapiens
CHEMBL2459	P37238	Peroxisome proliferator-activated receptor gamma	Mus musculus
CHEMBL3338	P37268	Squalene synthetase	Homo sapiens
CHEMBL2176819	P37285	Kinesin light chain 1	Rattus norvegicus
CHEMBL1889	P37288	Vasopressin V1a receptor	Homo sapiens
CHEMBL2111456	P37288	Vasopressin V1 receptor	Homo sapiens
CHEMBL2363078	P37288	Vasopressin receptor	Homo sapiens
CHEMBL4820	P37289	Prostanoid FP receptor	Bos taurus
CHEMBL1681613	P37340	Multidrug resistance protein mdtK	Escherichia coli (strain K12)
CHEMBL1075076	P37747	UDP-galactopyranose mutase	Escherichia coli K-12
CHEMBL6152	P37840	Alpha-synuclein	Homo sapiens
CHEMBL5312	P38024	Multifunctional protein ADE2	Gallus gallus
CHEMBL3627588	P38169	Kynurenine 3-monooxygenase	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
CHEMBL6102	P38260	Hsp70 nucleotide exchange factor FES1	Saccharomyces cerevisiae S288c
CHEMBL5990	P38398	Breast cancer type 1 susceptibility protein	Homo sapiens
CHEMBL3341583	P38433	Acetylcholinesterase 1	Caenorhabditis elegans
CHEMBL2012	P38435	Vitamin K-dependent gamma-carboxylase	Homo sapiens
CHEMBL2364171	P38484	Interferon gamma receptor	Homo sapiens
CHEMBL1075080	P38489	Oxygen-insensitive NAD(P)H nitroreductase	Escherichia coli K-12
CHEMBL5313	P38532	Heat shock factor protein 1	Mus musculus
CHEMBL4184	P38571	Lysosomal acid lipase/cholesteryl ester hydrolase	Homo sapiens
CHEMBL5355	P38604	Lanosterol synthase	Saccharomyces cerevisiae S288c
CHEMBL5356	P38605	Cycloartenol synthase	Arabidopsis thaliana
CHEMBL3694	P38650	Dynein heavy chain	Rattus norvegicus
CHEMBL2146314	P38889	Transcription factor SKN7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)
CHEMBL2697	P38918	Aflatoxin B1 aldehyde reductase	Rattus norvegicus
CHEMBL5021	P38936	CDK-interacting protein 1	Homo sapiens
CHEMBL3038463	P38936	AKT/p21CIP1	Homo sapiens
CHEMBL5394	P39040	Trypanothione reductase	Crithidia fasciculata
CHEMBL6016	P39045	D-alanyl-D-alanine carboxypeptidase	Actinomadura sp. R39
CHEMBL2176840	P39050	Trypanothione reductase	Leishmania donovani
CHEMBL1837	P39051	Trypanothione reductase	Trypanosoma brucei brucei
CHEMBL2311233	P39052	Dynamin-2	Rattus norvegicus
CHEMBL2364188	P39059	Collagen	Homo sapiens
CHEMBL2364188	P39060	Collagen	Homo sapiens
CHEMBL3773	P39069	Adenylate kinase 1	Rattus norvegicus
CHEMBL5395	P39073	Meiotic mRNA stability protein kinase SSN3	Saccharomyces cerevisiae S288c
CHEMBL1918	P39086	Glutamate receptor ionotropic kainate 1	Homo sapiens
CHEMBL2109241	P39086	Glutamate receptor ionotropic kainate	Homo sapiens
CHEMBL3259476	P39654	Arachidonate 15-lipoxygenase	Mus musculus
CHEMBL3225	P39655	Arachidonate 12-lipoxygenase	Mus musculus
CHEMBL4239	P39656	Oligosaccharyl transferase 48 kDa subunit	Homo sapiens
CHEMBL4517	P39688	Tyrosine-protein kinase FYN	Mus musculus
CHEMBL5027	P39748	Flap endonuclease 1	Homo sapiens
CHEMBL4323	P39877	Phospholipase A2 group V	Homo sapiens
CHEMBL4687	P39898	Plasmepsin 1	Plasmodium falciparum
CHEMBL4393	P39900	Matrix metalloproteinase 12	Homo sapiens
CHEMBL5396	P40136	Calmodulin-sensitive adenylate cyclase	Bacillus anthracis
CHEMBL2097167	P40145	Adenylate cyclase	Homo sapiens
CHEMBL2095179	P40146	Adenylate cyclase	Rattus norvegicus
CHEMBL3124734	P40189	Interleukin-6 receptor subunit beta	Homo sapiens
CHEMBL3137266	P40189	IL6Ralpha/GP130	Homo sapiens
CHEMBL3137274	P40189	LIFR/GP130	Homo sapiens
CHEMBL4945	P40220	Cellular retinoic acid-binding protein I	Gallus gallus
CHEMBL1293256	P40225	Thrombopoietin	Homo sapiens
CHEMBL1075255	P40231	Casein kinase II subunit alpha	Schizosaccharomyces pombe 972h-
CHEMBL1864	P40238	Thrombopoietin receptor	Homo sapiens
CHEMBL2346486	P40261	Nicotinamide N-methyltransferase	Homo sapiens
CHEMBL2364701	P40306	26S proteosome	Homo sapiens
CHEMBL3317334	P40306	Proteasome subunit beta type-10	Homo sapiens
CHEMBL4873	P40313	Chymotrypsin-like protease CTRL-1	Homo sapiens
CHEMBL3108660	P40337	Von Hippel-Lindau disease tumor suppressor	Homo sapiens
CHEMBL3301400	P40337	Von Hippel-Lindau disease tumor suppressor/Elongin B/Elongin C	Homo sapiens
CHEMBL5397	P40347	Low molecular weight phosphotyrosine protein phosphatase	Saccharomyces cerevisiae S288c
CHEMBL3867	P40394	Alcohol dehydrogenase class IV	Homo sapiens
CHEMBL2096668	P40394	Alcohol dehydrogenase	Homo sapiens
CHEMBL1075252	P40495	Homoisocitrate dehydrogenase, mitochondrial	Saccharomyces cerevisiae S288c
CHEMBL3112382	P40750	Penicillin-binding protein 4	Bacillus subtilis (strain 168)
CHEMBL4026	P40763	Signal transducer and activator of transcription 3	Homo sapiens
CHEMBL2157854	P40818	Ubiquitin carboxyl-terminal hydrolase 8	Homo sapiens
CHEMBL3932	P40881	Carbonic anhydrase	Methanosarcina thermophila
CHEMBL3560	P40925	Malate dehydrogenase cytoplasmic	Homo sapiens
CHEMBL5917	P40926	Malate dehydrogenase, mitochondrial	Homo sapiens
CHEMBL4874	P40935	Phenylethanolamine N-methyltransferase	Mus musculus
CHEMBL3134	P40989	1,3-beta-glucan synthase component GLS2	Saccharomyces cerevisiae S288c
CHEMBL1741266	P41001	DNA topoisomerase 2	Plasmodium falciparum K1
CHEMBL2046262	P41052	Membrane-bound lytic murein transglycosylase B	Escherichia coli (strain K12)
CHEMBL1075116	P41134	DNA-binding protein inhibitor ID-1	Homo sapiens
CHEMBL236	P41143	Delta opioid receptor	Homo sapiens
CHEMBL2095149	P41143	Opioid receptors; mu & delta	Homo sapiens
CHEMBL2095151	P41143	Opioid receptors; delta & kappa	Homo sapiens
CHEMBL2095181	P41143	Opioid receptors; mu/kappa/delta	Homo sapiens
CHEMBL3952	P41144	Kappa opioid receptor	Cavia porcellus
CHEMBL2111465	P41144	Opioid receptor (mu and kappa)	Cavia porcellus
CHEMBL3038518	P41144	mu/kappa opioid receptor	Cavia porcellus
CHEMBL237	P41145	Kappa opioid receptor	Homo sapiens
CHEMBL2095151	P41145	Opioid receptors; delta & kappa	Homo sapiens
CHEMBL2095156	P41145	Opioid receptors; mu & kappa	Homo sapiens
CHEMBL2095181	P41145	Opioid receptors; mu/kappa/delta	Homo sapiens
CHEMBL2014	P41146	Nociceptin receptor	Homo sapiens
CHEMBL4748	P41148	Heat shock protein 90 beta	Canis lupus familiaris
CHEMBL4489	P41149	Melanocortin receptor 5	Mus musculus
CHEMBL1878	P41180	Calcium sensing receptor	Homo sapiens
CHEMBL2401606	P41212	Transcription factor ETV6	Homo sapiens
CHEMBL3430865	P41222	Prostaglandin-H2 D-isomerase	Homo sapiens
CHEMBL2321623	P41226	Ubiquitin-like modifier-activating enzyme 7	Homo sapiens
CHEMBL2163176	P41229	Lysine-specific demethylase 5C	Homo sapiens
CHEMBL4398	P41231	Purinergic receptor P2Y2	Homo sapiens
CHEMBL4419	P41232	Purinergic receptor P2Y2	Rattus norvegicus
CHEMBL1641361	P41233	ATP-binding cassette sub-family A member 1	Mus musculus
CHEMBL5398	P41235	Hepatocyte nuclear factor 4-alpha	Homo sapiens
CHEMBL2634	P41240	Tyrosine-protein kinase CSK	Homo sapiens
CHEMBL2214	P41245	Matrix metalloproteinase 9	Mus musculus
CHEMBL3235	P41252	Isoleucyl-tRNA synthetase	Homo sapiens
CHEMBL4899	P41279	Mitogen-activated protein kinase kinase kinase 8	Homo sapiens
CHEMBL2150842	P41361	Antithrombin-III	Bos taurus
CHEMBL4833	P41440	Folate transporter 1	Homo sapiens
CHEMBL3400	P41516	DNA topoisomerase II alpha	Rattus norvegicus
CHEMBL5399	P41586	Pituitary adenylate cyclase-activating polypeptide type I receptor	Homo sapiens
CHEMBL4532	P41587	Vasoactive intestinal polypeptide receptor 2	Homo sapiens
CHEMBL1075300	P41593	Parathyroid hormone receptor	Mus musculus
CHEMBL3227	P41594	Metabotropic glutamate receptor 5	Homo sapiens
CHEMBL1833	P41595	Serotonin 2b (5-HT2b) receptor	Homo sapiens
CHEMBL2095200	P41595	Serotonin 2 (5-HT2) receptor	Homo sapiens
CHEMBL2096904	P41595	Serotonin (5-HT) receptor	Homo sapiens
CHEMBL2111466	P41595	Serotonin receptor (2b and 2c)	Homo sapiens
CHEMBL4015	P41597	C-C chemokine receptor type 2	Homo sapiens
CHEMBL5400	P41738	Aryl hydrocarbon receptor	Rattus norvegicus
CHEMBL2598	P41743	Protein kinase C iota	Homo sapiens
CHEMBL2093867	P41743	Protein kinase C (PKC)	Homo sapiens
CHEMBL4119	P41921	Glutathione reductase	Saccharomyces cerevisiae S288c
CHEMBL1741183	P41948	Ammonium transporter MEP2	Saccharomyces cerevisiae S288c
CHEMBL4644	P41968	Melanocortin receptor 3	Homo sapiens
CHEMBL2111323	P41968	Melanocortin receptor (M3 and M4)	Homo sapiens
CHEMBL1982	P41972	Isoleucyl-tRNA synthetase	Staphylococcus aureus
CHEMBL2364156	P42081	T-lymphocyte activation antigen CD86	Homo sapiens
CHEMBL2176834	P42123	L-lactate dehydrogenase B chain	Rattus norvegicus
CHEMBL2169719	P42124	Histone-lysine N-methyltransferase E(z)	Drosophila melanogaster
CHEMBL6101	P42224	Signal transducer and activator of transcription 1-alpha/beta	Homo sapiens
CHEMBL1667670	P42225	Signal transducer and activator of transcription 1	Mus musculus
CHEMBL5401	P42226	Signal transducer and activator of transcription 6	Homo sapiens
CHEMBL5402	P42227	Signal transducer and activator of transcription 3	Mus musculus
CHEMBL5403	P42229	Signal transducer and activator of transcription 5A	Homo sapiens
CHEMBL5513	P42230	Signal transducer and activator of transcription 5A	Mus musculus
CHEMBL3607	P42260	Glutamate receptor ionotropic kainate 2	Rattus norvegicus
